Country,Bond_Type,Type_of_Issuer,Use_of_Proceed,Principal_Currency,Year,Bond_Amount_USD
Germany,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2019,19.79676708
Germany,Social Bond,Not Applicable,Not Applicable,Not Applicable,2019,1.317702175
Germany,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,2019,8.517623355
Greece,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2019,0.156869306
Guernsey,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2019,0.023702094
Honduras,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2019,0.375
India,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2019,3.53225286
Indonesia,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2019,1.592018909
Indonesia,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,2019,0.5
Ireland,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2019,1.254954454
Italy,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2019,6.115372367
Italy,Social Bond,Not Applicable,Not Applicable,Not Applicable,2019,1.093526074
Japan,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2019,6.763790152
Japan,Social Bond,Not Applicable,Not Applicable,Not Applicable,2019,2.684663061
Japan,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,2019,0.329060906
Jersey,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2019,1.044495508
Kenya,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2019,0.00609775
"Korea, Rep. of",Green Bonds,Not Applicable,Not Applicable,Not Applicable,2019,6.85521239
"Korea, Rep. of",Social Bond,Not Applicable,Not Applicable,Not Applicable,2019,2.249332068
"Korea, Rep. of",Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,2019,0.5
"Korea, Rep. of",Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,2019,11.41863035
Liechtenstein,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2019,0.111395789
Luxembourg,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2019,8.263299601
Luxembourg,Social Bond,Not Applicable,Not Applicable,Not Applicable,2019,0.182549512
Luxembourg,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,2019,0.205801741
Malaysia,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2019,0.479879659
Malaysia,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,2019,0.729438574
"Marshall Islands, Rep. of the",Green Bonds,Not Applicable,Not Applicable,Not Applicable,2019,0.2
Mauritius,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2019,2.770202
Mauritius,Social Bond,Not Applicable,Not Applicable,Not Applicable,2019,0.34
Mexico,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2019,0.122687343
Mexico,Social Bond,Not Applicable,Not Applicable,Not Applicable,2019,0.230955771
Mexico,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,2019,0.270103094
"Netherlands, The",Green Bonds,Not Applicable,Not Applicable,Not Applicable,2019,28.27127157
"Netherlands, The",Social Bond,Not Applicable,Not Applicable,Not Applicable,2019,4.110408619
"Netherlands, The",Green Bond,Not Applicable,Not Applicable,Not Applicable,2019,16.40891645
"Netherlands, The",Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,2019,1.702956427
"Netherlands, The",Linked Bond,Not Applicable,Not Applicable,Not Applicable,2019,5.61148943
New Zealand,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2019,0.632859974
New Zealand,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,2019,0.769160122
Nigeria,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2019,0.018944918
Nigeria,Green Bond,Not Applicable,Not Applicable,Not Applicable,2019,0.010003201
Norway,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2019,5.345785172
Panama,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2019,0.042
Peru,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2019,1.280813906
Philippines,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2019,3.590743005
Philippines,Social Bond,Not Applicable,Not Applicable,Not Applicable,2019,0.047044654
Philippines,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,2019,0.872398912
Philippines,Linked Bond,Not Applicable,Not Applicable,Not Applicable,2019,0.112316837
"Poland, Rep. of",Green Bonds,Not Applicable,Not Applicable,Not Applicable,2019,2.310704305
"Poland, Rep. of",Green Bond,Not Applicable,Not Applicable,Not Applicable,2019,2.091590758
Portugal,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2019,1.157138365
Russian Federation,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2019,0.007342143
Singapore,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2019,2.240850031
South Africa,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2019,0.147012122
Spain,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2019,7.230203609
Spain,Social Bond,Not Applicable,Not Applicable,Not Applicable,2019,1.568195375
Spain,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,2019,1.987011219
Sweden,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2019,12.94673151
Sweden,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,2019,0.036221385
Switzerland,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2019,4.842317262
Taiwan Province of China,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2019,0.851530861
Thailand,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2019,0.680708973
"Türkiye, Rep. of",Green Bonds,Not Applicable,Not Applicable,Not Applicable,2019,0.1
United Arab Emirates,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2019,0.07
United Kingdom,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2019,7.911940613
United Kingdom,Social Bond,Not Applicable,Not Applicable,Not Applicable,2019,2.162650838
United Kingdom,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,2019,2.194506287
United States,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2019,27.19433931
United States,Social Bond,Not Applicable,Not Applicable,Not Applicable,2019,1.019187879
United States,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,2019,39.74981325
"Venezuela, Rep. Bolivariana de",Green Bonds,Not Applicable,Not Applicable,Not Applicable,2019,0.784346534
World,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2019,282.1789259
World,Green Bonds,Banks,Not Applicable,Not Applicable,2019,44.64335366
World,Green Bonds,International Organization,Not Applicable,Not Applicable,2019,20.55929029
World,Green Bonds,Local and state Government,Not Applicable,Not Applicable,2019,3.109373438
World,Green Bonds,Nonfinancial corporations,Not Applicable,Not Applicable,2019,82.62020776
World,Green Bonds,Other financial corporations,Not Applicable,Not Applicable,2019,61.11133964
World,Green Bonds,Sovereign,Not Applicable,Not Applicable,2019,27.66129757
World,Green Bonds,State owned entities,Not Applicable,Not Applicable,2019,42.47406352
World,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2019,770.3452126
World,,Not Applicable,Not Applicable,Not Applicable,2019,24.22680412
World,Social Bond,Not Applicable,Not Applicable,Not Applicable,2019,20.45445021
World,Social Bond,Banks,Not Applicable,Not Applicable,2019,4.897583103
World,Social Bond,International Organization,Not Applicable,Not Applicable,2019,1.215624548
World,Social Bond,Local and state Government,Not Applicable,Not Applicable,2019,0.020915907
World,Social Bond,Nonfinancial corporations,Not Applicable,Not Applicable,2019,1.674776589
World,Social Bond,Other financial corporations,Not Applicable,Not Applicable,2019,3.485548065
World,Social Bond,State owned entities,Not Applicable,Not Applicable,2019,9.160002001
World,Social Bond,Not Applicable,Not Applicable,Not Applicable,2019,52.37670807
World,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,2019,80.5807866
World,Sustainability Bond,Banks,Not Applicable,Not Applicable,2019,12.09900674
World,Sustainability Bond,International Organization,Not Applicable,Not Applicable,2019,37.83799187
World,Sustainability Bond,Local and state Government,Not Applicable,Not Applicable,2019,12.39267524
World,Sustainability Bond,Nonfinancial corporations,Not Applicable,Not Applicable,2019,5.731517359
World,Sustainability Bond,Other financial corporations,Not Applicable,Not Applicable,2019,5.389166637
World,Sustainability Bond,Sovereign,Not Applicable,Not Applicable,2019,0.5
World,Sustainability Bond,State owned entities,Not Applicable,Not Applicable,2019,6.630428744
World,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,2019,146.0421385
World,Linked Bond,Not Applicable,Not Applicable,Not Applicable,2019,5.723806267
World,Linked Bond,Banks,Not Applicable,Not Applicable,2019,0.112316837
World,Linked Bond,Nonfinancial corporations,Not Applicable,Not Applicable,2019,5.61148943
World,Linked Bond,Not Applicable,Not Applicable,Not Applicable,2019,5.723806267
Argentina,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2020,0.257622597
Argentina,Social Bond,Not Applicable,Not Applicable,Not Applicable,2020,0.0
Australia,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2020,3.115229161
Australia,Social Bond,Not Applicable,Not Applicable,Not Applicable,2020,0.441673657
Australia,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,2020,0.794377081
Austria,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2020,1.641511203
Austria,Social Bond,Not Applicable,Not Applicable,Not Applicable,2020,0.000136315
Austria,Linked Bond,Not Applicable,Not Applicable,Not Applicable,2020,1.25
Belgium,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2020,1.37694713
Belgium,Social Bond,Not Applicable,Not Applicable,Not Applicable,2020,47.58368977
Belgium,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,2020,2.426245279
Benin,Social Bond,Not Applicable,Not Applicable,Not Applicable,2020,0.638880438
Benin,Social Bond,Not Applicable,Not Applicable,Not Applicable,2020,0.638880438
Bermuda,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2020,2.96
Brazil,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2020,0.640879911
Brazil,Social Bond,Not Applicable,Not Applicable,Not Applicable,2020,0.008647156
Brazil,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,2020,0.411463393
British Virgin Islands,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2020,1.423659618
Burkina Faso,Social Bond,Not Applicable,Not Applicable,Not Applicable,2020,0.209339773
Burkina Faso,Social Bond,Not Applicable,Not Applicable,Not Applicable,2020,0.209339773
Canada,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2020,9.499570207
Canada,Social Bond,Not Applicable,Not Applicable,Not Applicable,2020,0.140646976
Canada,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,2020,0.77088991
Cayman Islands,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2020,6.28210746
Cayman Islands,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,2020,0.9208
Cayman Islands,Linked Bond,Not Applicable,Not Applicable,Not Applicable,2020,0.6
Chile,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2020,2.827132115
Chile,Social Bond,Not Applicable,Not Applicable,Not Applicable,2020,1.764974785
Chile,Green Bond,Not Applicable,Not Applicable,Not Applicable,2020,2.827132115
Chile,Social Bond,Not Applicable,Not Applicable,Not Applicable,2020,1.697991063
"China, P.R.: Hong Kong",Green Bonds,Not Applicable,Not Applicable,Not Applicable,2020,4.540633058
"China, P.R.: Hong Kong",Social Bond,Not Applicable,Not Applicable,Not Applicable,2020,0.385514919
"China, P.R.: Macao",Green Bonds,Not Applicable,Not Applicable,Not Applicable,2020,0.483691533
"China, P.R.: Macao",Social Bond,Not Applicable,Not Applicable,Not Applicable,2020,0.641512193
"China, P.R.: Mainland",Green Bonds,Not Applicable,Not Applicable,Not Applicable,2020,27.03166019
"China, P.R.: Mainland",Social Bond,Not Applicable,Not Applicable,Not Applicable,2020,2.72984708
"China, P.R.: Mainland",Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,2020,9.5498444
Colombia,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2020,0.15672068
Côte d'Ivoire,Social Bond,Not Applicable,Not Applicable,Not Applicable,2020,3.354561674
Denmark,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2020,1.650592003
Ecuador,Social Bond,Not Applicable,Not Applicable,Not Applicable,2020,0.8
Ecuador,Social Bond,Not Applicable,Not Applicable,Not Applicable,2020,0.8
"Egypt, Arab Rep. of",Green Bonds,Not Applicable,Not Applicable,Not Applicable,2020,1.5
"Egypt, Arab Rep. of",Green Bond,Not Applicable,Not Applicable,Not Applicable,2020,1.5
Finland,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2020,2.995009498
Finland,Social Bond,Not Applicable,Not Applicable,Not Applicable,2020,3.833420044
France,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2020,29.10483316
France,Social Bond,Not Applicable,Not Applicable,Not Applicable,2020,52.46756111
France,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,2020,3.974022439
France,Linked Bond,Not Applicable,Not Applicable,Not Applicable,2020,0.921071956
Georgia,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2020,0.5
Germany,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2020,45.62434007
Germany,Social Bond,Not Applicable,Not Applicable,Not Applicable,2020,2.32166574
Germany,Green Bond,Not Applicable,Not Applicable,Not Applicable,2020,19.34721452
Germany,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,2020,3.100783299
Greece,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2020,0.522897689
Guatemala,Social Bond,Not Applicable,Not Applicable,Not Applicable,2020,1.0
Guatemala,Social Bond,Not Applicable,Not Applicable,Not Applicable,2020,1.0
Guernsey,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2020,0.527216813
Guinea-Bissau,Social Bond,Not Applicable,Not Applicable,Not Applicable,2020,0.041062801
Guinea-Bissau,Social Bond,Not Applicable,Not Applicable,Not Applicable,2020,0.041062801
Honduras,Social Bond,Not Applicable,Not Applicable,Not Applicable,2020,0.091486364
Hungary,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2020,1.966018255
Hungary,Green Bond,Not Applicable,Not Applicable,Not Applicable,2020,1.702660514
Iceland,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2020,0.78791398
Iceland,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,2020,0.314729332
India,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2020,0.934276147
India,Social Bond,Not Applicable,Not Applicable,Not Applicable,2020,1.0
Indonesia,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2020,1.841711755
Ireland,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2020,2.22282495
Ireland,Social Bond,Not Applicable,Not Applicable,Not Applicable,2020,0.28250024
Italy,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2020,6.182536897
Italy,Social Bond,Not Applicable,Not Applicable,Not Applicable,2020,2.091590757
Italy,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,2020,0.529750805
Italy,Linked Bond,Not Applicable,Not Applicable,Not Applicable,2020,0.104579537
Japan,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2020,7.617034767
Japan,Social Bond,Not Applicable,Not Applicable,Not Applicable,2020,5.921640982
Japan,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,2020,4.444527164
Japan,Linked Bond,Not Applicable,Not Applicable,Not Applicable,2020,0.133967444
Jersey,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2020,0.23
Jersey,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,2020,1.5
"Korea, Rep. of",Green Bonds,Not Applicable,Not Applicable,Not Applicable,2020,3.171904655
"Korea, Rep. of",Social Bond,Not Applicable,Not Applicable,Not Applicable,2020,11.56370448
"Korea, Rep. of",Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,2020,7.246399919
Liechtenstein,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2020,0.111395789
Luxembourg,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2020,12.52630761
Luxembourg,Social Bond,Not Applicable,Not Applicable,Not Applicable,2020,1.148625243
Luxembourg,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,2020,1.568693069
Luxembourg,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,2020,6.302639988
Luxembourg,Linked Bond,Not Applicable,Not Applicable,Not Applicable,2020,2.823647524
Malaysia,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2020,0.124716135
Malaysia,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,2020,0.400265353
Mali,Social Bond,Not Applicable,Not Applicable,Not Applicable,2020,0.274557164
Mali,Social Bond,Not Applicable,Not Applicable,Not Applicable,2020,0.274557164
Mauritius,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2020,0.65
Mexico,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2020,1.689266591
Mexico,Social Bond,Not Applicable,Not Applicable,Not Applicable,2020,0.147224812
Mexico,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,2020,0.784346534
Mexico,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,2020,0.80394477
"Netherlands, The",Green Bonds,Not Applicable,Not Applicable,Not Applicable,2020,24.71991921
"Netherlands, The",Social Bond,Not Applicable,Not Applicable,Not Applicable,2020,7.313132745
"Netherlands, The",Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,2020,3.373704698
"Netherlands, The",Linked Bond,Not Applicable,Not Applicable,Not Applicable,2020,0.63149652
New Zealand,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2020,0.617050096
New Zealand,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,2020,1.205400191
Niger,Social Bond,Not Applicable,Not Applicable,Not Applicable,2020,0.352264902
Niger,Social Bond,Not Applicable,Not Applicable,Not Applicable,2020,0.352264902
Nigeria,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2020,0.167093683
Norway,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2020,6.33040032
Panama,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2020,0.535328
Paraguay,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,2020,0.6
Peru,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2020,0.2
Peru,Social Bond,Not Applicable,Not Applicable,Not Applicable,2020,0.015641791
Philippines,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2020,0.533912415
Philippines,Social Bond,Not Applicable,Not Applicable,Not Applicable,2020,9.056440701
Philippines,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,2020,0.905015227
"Poland, Rep. of",Green Bonds,Not Applicable,Not Applicable,Not Applicable,2020,0.248416345
"Poland, Rep. of",Linked Bond,Not Applicable,Not Applicable,Not Applicable,2020,0.251787692
Portugal,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2020,1.568693068
Russian Federation,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2020,1.13000096
Senegal,Social Bond,Not Applicable,Not Applicable,Not Applicable,2020,0.495396537
Senegal,Social Bond,Not Applicable,Not Applicable,Not Applicable,2020,0.495396537
Singapore,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2020,1.423991316
Singapore,Social Bond,Not Applicable,Not Applicable,Not Applicable,2020,0.0704
Singapore,Linked Bond,Not Applicable,Not Applicable,Not Applicable,2020,0.046888606
South Africa,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2020,0.2
Spain,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2020,9.647151136
Spain,Social Bond,Not Applicable,Not Applicable,Not Applicable,2020,2.665251745
Spain,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,2020,3.388377026
Spain,Linked Bond,Not Applicable,Not Applicable,Not Applicable,2020,0.018824316
Sweden,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2020,13.78777794
Sweden,Social Bond,Not Applicable,Not Applicable,Not Applicable,2020,0.018817861
Sweden,Green Bond,Not Applicable,Not Applicable,Not Applicable,2020,3.763572382
Sweden,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,2020,0.269236692
Switzerland,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2020,3.03803512
Taiwan Province of China,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2020,1.276288478
Taiwan Province of China,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,2020,0.177370905
Thailand,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2020,0.878528007
Thailand,Social Bond,Not Applicable,Not Applicable,Not Applicable,2020,0.20286396
Thailand,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,2020,6.322696093
Thailand,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,2020,6.322696093
Togo,Social Bond,Not Applicable,Not Applicable,Not Applicable,2020,0.28663446
Togo,Social Bond,Not Applicable,Not Applicable,Not Applicable,2020,0.28663446
"Türkiye, Rep. of",Green Bonds,Not Applicable,Not Applicable,Not Applicable,2020,0.1
"Türkiye, Rep. of",Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,2020,1.5
"Türkiye, Rep. of",Linked Bond,Not Applicable,Not Applicable,Not Applicable,2020,1.3
United Arab Emirates,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2020,0.096531308
United Kingdom,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2020,6.076582063
United Kingdom,Social Bond,Not Applicable,Not Applicable,Not Applicable,2020,5.793802338
United Kingdom,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,2020,2.211258504
United Kingdom,Linked Bond,Not Applicable,Not Applicable,Not Applicable,2020,0.627477226
United States,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2020,33.7475548
United States,Social Bond,Not Applicable,Not Applicable,Not Applicable,2020,9.889720799
United States,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,2020,111.0237522
United States,Linked Bond,Not Applicable,Not Applicable,Not Applicable,2020,1.8
"Venezuela, Rep. Bolivariana de",Green Bonds,Not Applicable,Not Applicable,Not Applicable,2020,0.389885262
"Venezuela, Rep. Bolivariana de",Social Bond,Not Applicable,Not Applicable,Not Applicable,2020,0.945557708
World,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2020,291.4313011
World,Green Bonds,Banks,Not Applicable,Not Applicable,2020,38.54222743
World,Green Bonds,International Organization,Not Applicable,Not Applicable,2020,12.79542494
World,Green Bonds,Local and state Government,Not Applicable,Not Applicable,2020,6.166453839
World,Green Bonds,Nonfinancial corporations,Not Applicable,Not Applicable,2020,103.2260875
World,Green Bonds,Other financial corporations,Not Applicable,Not Applicable,2020,56.02833808
World,Green Bonds,Sovereign,Not Applicable,Not Applicable,2020,29.14057953
World,Green Bonds,State owned entities,Not Applicable,Not Applicable,2020,45.53218984
World,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2020,1015.534339
World,,Not Applicable,Not Applicable,Not Applicable,2020,28.61660079
World,Social Bond,Not Applicable,Not Applicable,Not Applicable,2020,177.99039
World,Social Bond,Banks,Not Applicable,Not Applicable,2020,11.06000773
World,Social Bond,International Organization,Not Applicable,Not Applicable,2020,71.41292513
World,Social Bond,Local and state Government,Not Applicable,Not Applicable,2020,2.412296566
World,Social Bond,Nonfinancial corporations,Not Applicable,Not Applicable,2020,25.23723614
World,Social Bond,Other financial corporations,Not Applicable,Not Applicable,2020,12.24896883
World,Social Bond,Sovereign,Not Applicable,Not Applicable,2020,5.796127138
World,Social Bond,State owned entities,Not Applicable,Not Applicable,2020,49.8228285
World,Social Bond,Not Applicable,Not Applicable,Not Applicable,2020,229.8670981
World,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,2020,174.4674947
World,Sustainability Bond,Banks,Not Applicable,Not Applicable,2020,12.7605162
World,Sustainability Bond,International Organization,Not Applicable,Not Applicable,2020,112.0292698
World,Sustainability Bond,Local and state Government,Not Applicable,Not Applicable,2020,8.11537214
World,Sustainability Bond,Nonfinancial corporations,Not Applicable,Not Applicable,2020,13.50639125
World,Sustainability Bond,Other financial corporations,Not Applicable,Not Applicable,2020,9.5063031
World,Sustainability Bond,Sovereign,Not Applicable,Not Applicable,2020,8.675735696
World,Sustainability Bond,State owned entities,Not Applicable,Not Applicable,2020,9.873906556
World,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,2020,318.1666691
World,Linked Bond,Not Applicable,Not Applicable,Not Applicable,2020,10.50974082
World,Linked Bond,Nonfinancial corporations,Not Applicable,Not Applicable,2020,5.141632349
World,Linked Bond,Other financial corporations,Not Applicable,Not Applicable,2020,5.368108472
World,Linked Bond,Not Applicable,Not Applicable,Not Applicable,2020,16.23354709
"Andorra, Principality of",Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,2021,0.522897689
"Andorra, Principality of",Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,2021,0.522897689
Argentina,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2021,0.915156197
Argentina,Social Bond,Not Applicable,Not Applicable,Not Applicable,2021,0.012426914
Argentina,Linked Bond,Not Applicable,Not Applicable,Not Applicable,2021,0.050006468
Australia,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2021,4.631842611
Australia,Social Bond,Not Applicable,Not Applicable,Not Applicable,2021,0.293601768
Australia,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,2021,8.846003388
Australia,Linked Bond,Not Applicable,Not Applicable,Not Applicable,2021,2.632543428
Austria,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2021,2.670297089
Austria,Social Bond,Not Applicable,Not Applicable,Not Applicable,2021,0.522897689
Austria,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,2021,1.146110362
Austria,Linked Bond,Not Applicable,Not Applicable,Not Applicable,2021,3.608509635
Bangladesh,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2021,0.246103363
Belgium,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2021,22.40627058
Belgium,Social Bond,Not Applicable,Not Applicable,Not Applicable,2021,48.90831951
Belgium,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,2021,1.969155252
Benin,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,2021,1.045795378
Benin,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,2021,1.045795378
Bermuda,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2021,1.95
Bermuda,Linked Bond,Not Applicable,Not Applicable,Not Applicable,2021,0.15
Brazil,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2021,2.524399566
Brazil,Social Bond,Not Applicable,Not Applicable,Not Applicable,2021,0.339274212
Brazil,Linked Bond,Not Applicable,Not Applicable,Not Applicable,2021,2.319555912
British Virgin Islands,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2021,5.580390519
British Virgin Islands,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,2021,0.3
British Virgin Islands,Linked Bond,Not Applicable,Not Applicable,Not Applicable,2021,0.2
Burkina Faso,Social Bond,Not Applicable,Not Applicable,Not Applicable,2021,1.168444847
Burkina Faso,Social Bond,Not Applicable,Not Applicable,Not Applicable,2021,1.168444847
Canada,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2021,15.79213115
Canada,Social Bond,Not Applicable,Not Applicable,Not Applicable,2021,0.55537864
Canada,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,2021,2.466224558
Canada,Linked Bond,Not Applicable,Not Applicable,Not Applicable,2021,2.300984528
Cayman Islands,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2021,10.23511343
Cayman Islands,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,2021,6.831757479
Cayman Islands,Linked Bond,Not Applicable,Not Applicable,Not Applicable,2021,0.4
Chile,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2021,5.8718
Chile,Social Bond,Not Applicable,Not Applicable,Not Applicable,2021,14.42230584
